Slot Name,Model Name,Make Name,Slot Currency,Slot Reading Hour,Games Played This Hour,Dollars Player Bet,Dollars Player Lost,Theory Player Lost Amount,Slot Ideal Payback Percentage
Slot 229,EGT - Premier,EGT,$,2019-02-06 06:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 329,Oxygen Slant NIO C$,Atronic,C$,2019-02-16 16:00:00,850,76.59570,20.83020,6.127656000,0.0800
Slot 229,EGT - Premier,EGT,$,2019-02-16 16:00:00,831,931.00000,121.20000,74.480000000,0.0800
Slot 229,EGT - Premier,EGT,$,2019-03-05 15:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 154,EGT - Premier,EGT,$,2019-01-03 15:00:00,105,112.40000,-92.10000,6.710280000,0.0597
Slot 329,Oxygen Slant NIO C$,Atronic,C$,2019-03-16 02:00:00,507,20.54370,4.53300,1.643496000,0.0800
Slot 154,EGT - Premier,EGT,$,2019-02-16 16:00:00,440,345.20000,138.22000,20.608440000,0.0597
Slot 243,GK10 Slant,IGT,C$,2019-02-06 06:00:00,140,4.24200,0.30300,0.169680000,0.0400
Slot 154,EGT - Premier,EGT,$,2019-02-06 06:00:00,0,0.00000,0.00000,0.000000000,0.0597
Slot 229,EGT - Premier,EGT,$,2019-02-02 22:00:00,259,27.00000,-46.90000,2.160000000,0.0800
Slot 229,EGT - Premier,EGT,$,2019-02-23 11:00:00,0,0.00000,0.00000,0.000000000,0.0800
Slot 154,EGT - Premier,EGT,$,2019-01-23 15:00:00,288,141.45000,78.10000,8.444565000,0.0597
Slot 151,Novostar II US$,Novomatic,$,2019-03-19 08:00:00,0,0.00000,0.00000,0.000000000,0.0515
Slot 330,Oxygen Slant NIO C$,Atronic,C$,2019-02-09 17:00:00,427,36.78090,10.60200,2.942472000,0.0800
Slot 219,GK 100 AVP,IGT,C$,2019-01-30 11:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 160,I-Game 044,IGT,$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0500
Slot 260,Roulette,ZUUM,C$,2019-02-13 04:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 330,Oxygen Slant NIO C$,Atronic,C$,2019-01-23 15:00:00,909,21.61413,1.51032,1.729130400,0.0800
Slot 260,Roulette,ZUUM,C$,2019-02-20 03:00:00,0,0.00000,0.00000,0.000000000,0.0400
Slot 121,A560,Ainsworth,$,2019-01-07 01:00:00,166,649.00000,-3935.19000,58.215300000,0.0897
Slot 260,Roulette,ZUUM,C$,2019-01-30 11:00:00,11,90.73086,-18.53148,3.629234400,0.0400
Slot 260,Roulette,ZUUM,C$,2019-02-02 21:00:00,38,425.41200,109.08000,17.016480000,0.0400
